 VER_rate (ps-1)    k_FGR (ps-1)     k_M (ps-1)
   1.00000000000000       8.959568360841427E-003  4.021024507717726E-004
   3.05263157894737       7.488265646101633E-003  4.021024507717726E-004
   5.10526315789474       6.367678316108489E-003  4.021024507717726E-004
   7.15789473684211       5.524303098966470E-003  4.021024507717726E-004
   9.21052631578947       4.874020437460515E-003  4.021024507717726E-004
   11.2631578947368       4.361547980645956E-003  4.021024507717726E-004
   13.3157894736842       3.949957206873813E-003  4.021024507717726E-004
   15.3684210526316       3.613910693051653E-003  4.021024507717726E-004
   17.4210526315789       3.335576589716325E-003  4.021024507717726E-004
   19.4736842105263       3.102115736490686E-003  4.021024507717726E-004
   21.5263157894737       2.904094120189043E-003  4.021024507717726E-004
   23.5789473684211       2.734453094589529E-003  4.021024507717726E-004
   25.6315789473684       2.587824937016635E-003  4.021024507717726E-004
   27.6842105263158       2.460067769719072E-003  4.021024507717726E-004
   29.7368421052632       2.347943155481994E-003  4.021024507717726E-004
   31.7894736842105       2.248888507318191E-003  4.021024507717726E-004
   33.8421052631579       2.160853757157605E-003  4.021024507717726E-004
   35.8947368421053       2.082182359974467E-003  4.021024507717726E-004
   37.9473684210526       2.011523395273025E-003  4.021024507717726E-004
   40.0000000000000       1.947765808615744E-003  4.021024507717726E-004
